,Isotope,Decay Energy (keV),Half-life (seconds)
413,103Rh,39.753,3366.8399999999997
414,103Pd,784.79,2.5000000000000002e-08
415,103Ag,134.45,5.7
416,103In,631.7,34.0
417,104Nb,215.0,0.94
418,104Tc,69.7,3.5e-06
419,104Tc,106.1,4e-07
420,104Rh,128.9679,260.4
421,104Rh,344.594,4.7000000000000004e-08
422,104Ag,6.9,2010.0
423,104In,93.48,15.7
424,105Tc,85.43,2.08e-08
425,105Ru,20.61,3.4000000000000003e-07
426,105Ru,159.518,5.4999999999999996e-08
427,105Ru,163.815,5.5e-08
428,105Rh,129.782,42.9
429,105Pd,489.14,3.6099999999999997e-05
430,105Ag,25.479,433.8
431,105Cd,2517.5,4.5e-06
432,105In,674.08,48.0
433,106Nb,204.9,6.6e-07
434,106Rh,137.0,7860.0
435,106Ag,89.66,715392.0
436,106Cd,4659.71,6.2e-08
437,106Cd*,7118.9,1.1000000000000001e-08
438,106In,28.6,312.0
439,106Sb,103.5,2.32e-07
440,107Mo,65.4,4.2e-07
441,107Tc,30.1,3.8499999999999996e-06
442,107Tc,65.72,1.84e-07
443,107Ru,102.681,1.08e-08
444,107Ru,106.307,3.34e-08
445,107Rh,268.36,9.999999999999999e-06
446,107Rh,374.278,1.5000000000000002e-08
447,107Pd,115.74,8.499999999999999e-07
448,107Pd,214.6,21.3
449,107Ag,93.125,44.3
450,107Cd,845.54,7.1e-08
451,107Cd,2678.88,5.5e-08
452,107In,678.5,50.4
453,108Zr,2074.5,5.36e-07
454,108Nb,166.6,1.09e-07
455,108Rh,115.0,360.0
456,108Ag,109.466,13812768000.0
457,108Ag,215.382,4.58e-08
458,108In,29.75,2376.0
459,109Nb,312.5,1.14e-07
460,109Mo,69.7,1.94e-07
461,109Ru,96.2,6.800000000000001e-07
462,109Rh,225.974,1.6599999999999998e-06
463,109Rh,257.77,2.8700000000000002e-08
464,109Rh,374.09,3.3000000000000004e-08
465,109Pd,113.4,3.8e-07
466,109Pd,188.99,281.76
467,109Ag,88.0341,39.6
468,109Cd,59.49,1.2e-05
469,109Cd,463.5,1.09e-05
470,109In,650.1,80.4
471,109In,2101.8,0.209
472,110Ag,1.112,6.6e-07
473,110Ag,117.59,21585312.0
474,110Ag,118.719,3.6600000000000003e-08
475,110In,62.08,4146.0
476,110Sb,1152.9,2.4000000000000003e-08
477,111Ru,253.97,1.4000000000000001e-08
478,111Rh,394.95,8.700000000000001e-08
479,111Pd,172.18,20062.800000000003
480,111Ag,59.82,64.8
481,111Ag,376.71,1.6e-08
482,111Cd,245.39,8.450000000000001e-08
483,111Cd,396.214,2910.0
484,111In,536.99,462.0
485,111In,2716.79,1.37e-08
486,111Sn,254.71,1.2499999999999999e-05
487,111Sn,978.6,1e-08
488,111Te,839.4,3.2200000000000004e-08
489,112In,156.592,1240.2
490,112In,350.8,6.9e-07
491,112In,613.82,2.8099999999999998e-06
492,112Sn,2549.22,1.3730000000000001e-08
493,113Tc,114.4,5.26e-07
494,113Pd,81.1,0.3
495,113Ag,43.5,68.7
496,113Ag,222.08,2.3e-08
497,113Ag,273.59,3.0000000000000004e-08
498,113Cd,263.54,438035040.0
499,113Cd,316.206,1.08e-08
500,113In,391.699,5968.5599999999995
501,113Sn,77.389,1284.0
502,113Sn,738.4,8.6e-08
503,113Xe,404.8,6.9e-06
504,114Ag,199.0,0.0015
505,114In,190.2682,4277664.0
506,114In,501.948,0.0431
507,114Sn,3087.37,7.33e-07
508,114Sb,45.86,2.6e-08
509,114Sb,54.64,2.04e-08
510,114Sb,495.5,0.00021899999999999998
511,114I,265.9,6.2
512,115Pd,89.21,50.0
513,115Ag,41.16,18.0
514,115Cd,181.0,3849984.0
515,115In,336.244,16149.599999999999
516,115Sn,612.81,3.2599999999999997e-06
517,115Sn,713.64,0.000159
518,115Sb,2796.26,1.59e-07
519,115Te,280.05,7.499999999999999e-06
520,116Ag,47.9,20.0
521,116Ag,129.8,9.3
522,116In,127.267,3257.4
523,116In,289.66,2.18
524,116Sn,2365.975,3.4800000000000005e-07
525,116Sn,3547.16,8.33e-07
526,116Sb,93.99,1.9400000000000002e-07
527,116Sb,383.0,3618.0
528,116Sb,1158.79,1.06e-08
529,116I,430.4,3.27e-06
530,117Ru,185.0,2.487e-06
531,117Rh,321.2,1.3800000000000002e-07
532,117Pd,203.3,0.019100000000000002
533,117Ag,28.6,5.34
534,117Cd,136.4,12096.0
535,117In,315.303,6972.0
536,117In,659.765,5.3600000000000004e-08
537,117Sn,314.58,1209600.0
538,117Sn,2406.4,1.75e-06
539,117Sb,3130.76,0.000355
540,117Sb,3230.7,2.9000000000000003e-07
541,117Te,274.4,1.99e-08
542,117Te,296.1,0.10300000000000001
543,117I,353.59,1.21e-08
544,117I,5063.8,5.0000000000000004e-08
545,117Xe,205.52,1.7e-08
546,117Xe,229.78,5.9000000000000006e-08
547,118Ag,45.79,1e-07
548,118Ag,127.63,2.0
549,118Ag,279.37,1e-07
550,118Sn,2321.23,2.17e-08
551,118Sn,2574.91,2.3000000000000002e-07
552,118Sn,3108.06,2.52e-06
553,118Sb,50.814,2.06e-05
554,118Sb,250.0,18000.0
555,118Sb,269.82,1.3300000000000002e-08
556,118Sb,964.88,2.2600000000000004e-08
557,118I,188.8,510.0
558,119Ru,227.1,3.83e-07
