,Isotope,Decay Energy (keV),Half-life (seconds)
416,100Tc,243.95,3.2e-06
417,100Rh,32.686,2.7600000000000002e-08
418,100Rh,74.782,2.1430000000000003e-07
419,100Rh,107.59,276.0
420,100Rh,219.58,1.3200000000000002e-07
421,100Ag,15.52,134.4
422,100Cd,2548.19,6.2e-08
423,101Zr,941.81,1.6e-08
424,101Mo,13.497,2.26e-07
425,101Mo,57.015,1.33e-07
426,101Mo,273.0,9.5e-08
427,101Tc,9.32,1.4300000000000002e-08
428,101Tc,15.602,2.6800000000000002e-08
429,101Tc,207.526,0.000636
430,101Ru,527.56,1.75e-05
431,101Rh,157.32,374976.0
432,101Ag,274.1,3.1
433,102Nb,93.0,1.31
434,102Rh,41.94,1.89e-08
435,102Rh,140.73,118007712.0
436,102Pd,1593.16,1.45e-08
437,102Ag,9.4,462.0
438,102Cd,2718.6,3.9000000000000005e-08
439,103Ru,238.2,0.0016899999999999999
440,103Rh,39.753,3366.8399999999997
441,103Pd,784.79,2.5000000000000002e-08
442,103Ag,134.45,5.7
443,103In,631.7,34.0
444,104Tc,69.7,3.5e-06
445,104Tc,106.1,4e-07
446,104Rh,128.9679,260.4
447,104Rh,344.594,4.7000000000000004e-08
448,104Ag,6.9,2010.0
449,104In,93.48,15.7
450,105Tc,85.42,2.08e-08
451,105Ru,20.606,3.4000000000000003e-07
452,105Ru,163.821,5.5e-08
453,105Rh,129.782,42.9
454,105Pd,489.14,3.6099999999999997e-05
455,105Ag,25.479,433.8
456,105Cd,2517.5,4.5e-06
457,105In,674.08,48.0
458,106Nb,204.8,8.199999999999999e-07
459,106Rh,137.0,7860.0
460,106Ag,89.66,715392.0
461,106Cd,4659.71,6.2e-08
462,106Cd,7118.9,1.1000000000000001e-08
463,106In,28.6,312.0
464,106Sb,103.5,2.32e-07
465,107Mo,65.4,4.2700000000000005e-07
466,107Tc,30.1,3.8499999999999996e-06
467,107Tc,65.72,1.84e-07
468,107Ru,102.681,1.08e-08
469,107Ru,106.307,3.34e-08
470,107Rh,268.36,9.999999999999999e-06
471,107Rh,374.278,1.5000000000000002e-08
472,107Pd,115.74,8.499999999999999e-07
473,107Pd,214.6,21.3
474,107Ag,93.125,44.3
475,107Cd,845.54,7.01e-08
476,107Cd,2678.88,5.5e-08
477,107In,678.5,50.4
478,108Zr,2074.5,5.36e-07
479,108Nb,166.6,1.09e-07
480,108Rh,115.0,360.0
481,108Ag,109.466,13812768000.0
482,108Ag,215.382,4.58e-08
483,108In,29.75,2376.0
484,109Nb,312.5,1.3200000000000002e-07
485,109Mo,69.7,1.94e-07
486,109Ru,96.14,6.800000000000001e-07
487,109Rh,225.873,1.6599999999999998e-06
488,109Rh,257.66,2.8700000000000002e-08
489,109Rh,373.99,3.4e-08
490,109Pd,113.4,3.8e-07
491,109Ag,88.0337,39.7
492,109Cd,59.6,1.18e-05
493,109Cd,463.1,1.0599999999999998e-05
494,109In,649.79,80.4
495,109In,2101.86,0.21
496,110Ag,1.112,6.6e-07
497,110Ag,117.59,21582201.6
498,110Ag,118.719,3.6600000000000003e-08
499,110In,62.08,4146.0
500,110Sb,1152.9,2.4000000000000003e-08
501,111Ru,253.97,1.4000000000000001e-08
502,111Rh,394.95,8.700000000000001e-08
503,111Pd,172.17,20034.0
504,111Ag,59.82,64.8
505,111Ag,376.71,1.6e-08
506,111Cd,245.39,8.450000000000001e-08
507,111Cd,396.214,2911.8
508,111In,536.99,462.0
509,111In,2716.79,1.37e-08
510,111Sn,254.71,1.2499999999999999e-05
511,111Sn,978.6,1e-08
512,111Te,839.4,3.2200000000000004e-08
513,112Tc,350.0,1.5000000000000002e-07
514,112In,156.592,1245.6000000000001
515,112In,350.8,6.9e-07
516,112In,613.82,2.8099999999999998e-06
517,112Sn,2549.22,1.3720000000000001e-08
518,112Sb,825.9,5.36e-07
519,113Tc,114.4,5.26e-07
520,113Pd,81.1,0.3
521,113Ag,43.5,68.7
522,113Ag,222.08,2.3e-08
523,113Ag,273.59,3.0000000000000004e-08
524,113Cd,263.54,438035040.0
525,113Cd,316.206,1.08e-08
526,113In,391.699,5968.2
527,113Sn,77.389,1284.0
528,113Sn,738.4,8.6e-08
529,113Xe,404.8,6.9e-06
530,114Ag,199.0,0.0015
531,114In,190.2682,4277664.0
532,114In,501.948,0.0426
533,114Sn,3087.37,7.33e-07
534,114Sb,45.86,2.6e-08
535,114Sb,54.64,2.04e-08
536,114Sb,495.5,0.00021899999999999998
537,114I,265.9,6.2
538,115Pd,89.21,50.0
539,115Ag,41.16,18.0
540,115Cd,181.0,3849984.0
541,115In,336.244,16149.599999999999
542,115Sn,612.81,3.2599999999999997e-06
543,115Sn,713.64,0.000159
544,115Sb,2796.26,1.59e-07
545,115Te,280.05,7.499999999999999e-06
546,116Ag,47.9,20.0
547,116Ag,129.8,9.4
548,116In,127.267,3279.6
549,116In,289.66,2.18
550,116Sn,2365.975,3.4800000000000005e-07
551,116Sn,3547.16,8.33e-07
552,116Sb,93.99,1.9400000000000002e-07
553,116Sb,383.0,3618.0
554,116Sb,1158.79,1.06e-08
555,116I,430.4,3.27e-06
556,117Ru,185.0,2.487e-06
557,117Rh,321.2,1.3800000000000002e-07
558,117Pd,203.3,0.019100000000000002
559,117Ag,28.6,5.34
560,117Cd,136.4,12387.599999999999
561,117In,315.303,6972.0
562,117In,659.765,5.3600000000000004e-08
563,117Sn,314.58,1204416.0
564,117Sn,2406.4,1.75e-06
565,117Sb,3130.76,0.000355
566,117Sb,3230.7,2.9000000000000003e-07
567,117Te,274.4,1.99e-08
568,117Te,296.1,0.10300000000000001
569,117I,353.59,1.21e-08
570,117I,5063.8,5.0000000000000004e-08
571,117Xe,205.52,1.7e-08
572,117Xe,229.78,5.9000000000000006e-08
573,118Ag,45.79,1e-07
574,118Ag,127.63,2.0
575,118Ag,279.37,1e-07
576,118Sn,2321.23,2.08e-08
577,118Sn,2574.91,2.3000000000000002e-07
578,118Sn,3108.06,2.52e-06
579,118Sb,50.814,2.06e-05
580,118Sb,250.0,18288.0
581,118Sb,269.82,1.3300000000000002e-08
582,118Sb,964.88,2.2600000000000004e-08
583,118I,188.8,510.0
584,119Ru,227.1,3.83e-07
585,119Ag,33.4,2.1
586,119Cd,146.54,132.0
587,119Cd,228.27,4.3e-08
588,119In,311.37,1080.0
589,119In,654.27,1.3e-07
590,119In,2656.9,2.65e-07
591,119Sn,23.871,1.8030000000000003e-08
592,119Sn,89.531,25323840.000000004
593,119Sn,2127.0,9.6e-06
594,119Sn,2368.89,9.6e-08
595,119Sn,3101.75,3.9e-08
596,119Sb,2553.6,1.3e-07
597,119Sb,2799.0,0.835
598,119Te,260.96,406080.0
599,119I,306.66,3.4600000000000005e-08
600,119Xe,176.08,2e-08
601,119Xe,243.39,2.7e-08
602,119Xe,245.99,7e-08
603,119Cs,110.0,5.4999999999999995e-05
604,119Ba,66.0,3.6e-07
605,120Rh,157.2,2.9399999999999996e-07
606,120Sn,2481.63,1.18e-05
607,120Sn,2902.22,6.259999999999999e-06
608,120Sn,4891.1,3.0000000000000004e-08
609,120Sb,78.16,2.46e-07
610,120I,25.07,1.3600000000000001e-08
611,120I,72.3,2.44e-07
612,120I,132.0,3180.0
613,121Pd,135.5,4.6e-07
614,121Cd,214.86,8.3
615,121Cd,314.5,1.9e-08
616,121In,313.68,232.79999999999998
617,121Sn,6.31,1384430400.0
618,121Sn,1998.3,5.299999999999999e-06
619,121Sn,2221.98,5.2e-07
620,121Sn,2833.9,1.67e-07
621,121Te,293.974,14230079.999999998
622,121Te,443.11,8.53e-08
623,121I,2353.0,8e-08
624,121I,2376.9,9e-06
625,121Xe,153.99,8e-08
626,121Cs,68.5,122.0
627,122Rh,271.0,8.199999999999999e-07
628,122Sn,2409.03,7.499999999999999e-06
629,122Sn,2765.3,6.2e-05
630,122Sn,4478.7,4e-08
631,122Sn,4721.2,1.3900000000000001e-07
632,122Sb,61.4131,1.86e-06
633,122Sb,137.4726,0.0005300000000000001
634,122Sb,163.5591,251.45999999999998
635,122I,155.7,1.6600000000000003e-08
636,122I,315.0,1.9330000000000002e-07
637,122I,379.5,7.909999999999998e-05
638,122I,393.9,7.82e-05
639,122I,444.2,1.4650000000000002e-07
640,122Cs,45.87,1e-06
641,122Cs,127.07,0.36
642,122Cs,135.0,222.0
643,123Ag,1472.8,3.9300000000000004e-07
644,123Cd,144.0,1.8
645,123Cd,263.867,8e-08
646,123In,327.21,47.4
647,123In,2078.1,1.4e-06
648,123Sn,24.6,2403.6000000000004
649,123Sn,1945.0,7.4e-06
650,123Sn,2153.0,6e-06
651,123Sn,2713.0,3.4e-05
652,123Sb,2037.4,3.7299999999999997e-08
653,123Sb,2237.9,2.14e-07
654,123Sb,2613.6,6.5e-05
655,123Te,247.45,10307520.0
656,123Te,489.78,3.0700000000000004e-08
657,123I,2659.9,2.6600000000000003e-08
658,123Xe,185.3,5.7e-06
659,123Xe,206.38,1.1800000000000001e-08
660,123Cs,156.27,1.64
661,123Ba,92.68,4e-08
662,123Ba,120.98,8.299999999999999e-07
663,124In,242.68,5.0000000000000004e-08
664,124Sn,2204.62,2.7e-07
665,124Sn,2325.01,2.84e-06
666,124Sn,2656.6,5.1e-05
667,124Sn,4551.4,2.6e-07
668,124Sb,10.8627,93.0
669,124Sb,36.844,1212.0
670,124Sb,40.8038,3.2e-06
671,124Sb,125.2291,8.6e-08
672,124I,55.2,6.35e-08
673,124I,122.8,1.06e-08
674,124I,249.8,1.3400000000000001e-08
675,124I,689.1,1.37e-08
676,124Cs,301.14,6.900000000000001e-08
677,124Cs,462.54,6.41
678,125Pd,1805.23,1.4400000000000002e-07
679,125Ag,97.1,0.159
680,125Ag,1501.2,4.909999999999999e-07
681,125Cd,188.5,0.48
682,125In,360.12,12.2
683,125In,2009.4,9.4e-06
684,125In,2161.2,0.005
685,125Sn,27.5,582.0
686,125Sn,1892.8,6.2e-06
687,125Sn,2059.69,6.5e-07
688,125Sn,2623.5,2.3e-07
689,125Sb,1971.25,4.1e-06
690,125Sb,2112.1,2.8399999999999996e-05
691,125Sb,2325.0,3.1e-08
692,125Sb,2471.0,2.77e-07
693,125Te,144.775,4959360.0
694,125Xe,252.61,57.0
695,125Xe,295.89,1.4e-07
696,125Cs,84.82,1.45e-08
697,125Cs,266.1,0.0009000000000000001
698,125La,107.0,0.39
699,126Pd,2023.5,3.3e-07
700,126Pd,2109.7,4.3999999999999997e-07
701,126Pd,2406.4,0.023
702,126In,102.0,1.64
703,126In,243.3,2.2e-05
704,126Sn,2161.54,1.08e-08
705,126Sn,2218.99,6.099999999999999e-06
706,126Sn,2564.5,7.599999999999999e-06
707,126Sn,4345.7,1.2600000000000002e-07
708,126Sb,17.7,1149.0
709,126Sb,40.4,11.0
710,126Sb,104.6,5.53e-07
711,126Sb,127.9,7.800000000000001e-08
712,126Sb,1689.4,6.000000000000001e-08
713,126Sb,1810.7,9.000000000000001e-08
714,126Te,2974.4,1.07e-08
715,126I,56.4,2e-08
716,126I,111.0,1.28e-07
717,126I,122.2,1.1000000000000001e-08
718,126I,237.4,1.6e-08
719,126Cs,272.5,1e-06
720,126Cs,596.1,0.00017099999999999998
721,127Pd,1717.91,3.9e-05
722,127Ag,1942.0,0.0675
723,127Cd,283.3,0.36
724,127Cd,1559.7,1.75e-05
725,127In,401.0,3.618
726,127In,1743.0,1.04
727,127In,2364.0,9e-06
728,127Sn,5.07,247.79999999999998
729,127Sn,1826.67,4.519999999999999e-06
730,127Sn,1930.97,1.1899999999999998e-06
731,127Sn,2552.4,2.5e-07
732,127Sb,1920.19,1.1699999999999998e-05
733,127Sb,2194.4,1.4000000000000001e-08
734,127Sb,2325.2,2.6900000000000004e-07
735,127Te,88.23,9167040.0
736,127Xe,297.1,69.2
737,127Xe,342.23,3.6700000000000004e-08
738,127Xe,2730.3,2.8000000000000003e-08
739,127Cs,66.09,2.4880000000000002e-08
740,127Cs,452.23,5.4999999999999995e-05
741,127Ba,80.32,1.93
742,127Ba,81.29,7.500000000000001e-08
743,127La,14.2,222.0
744,127Ce,7.3,28.6
745,127Ce,36.8,9.999999999999999e-06
746,128Pd,2151.0,5.7999999999999995e-06
747,128Cd,1870.5,2.7e-07
748,128Cd,2108.3,1.2000000000000002e-08
749,128Cd,2714.6,3.56e-06
750,128Cd,4288.0,0.0063
751,128In,247.87,2.3e-05
