,AAA,ZZZi,A El,s,Mass #,dMass #,Exc #,dE #,Orig,Isom.Unc,Isom.Inv,T #,unit T,dT,Jpi */#/T=,Ensdf year,Discovery,BR,T in s
5389,44,961,244Cm,,59492.0     ,  1.1     ,1040.181   ,  0.011   , ,,, 34     ,ms,2      ,6+            ,17,1963,IT=100,1.0773949856769842e-09
5390,44,962,244Cm,,59550#      ,900#      ,1100#      ,900#      , ,,,500     ,ns,       ,              ,17,1969,SF~100;IT ?,1.5844043907014475e-14
5391,44,970,244Bk,,60714       , 14       ,           ,          , ,,,  5.02  , h,0.03   ,4-            ,17,1972,B+ ?;A=0.006 3,0.0005726671229751312
5392,44,971,244Bk,,62210#      ,500#      ,1500#      ,500#      , ,,,820     ,ns,60     ,              ,17,1972,SF~100;IT ?,2.5984232007503738e-14
5393,44,973,244Bk,,60850#      , 50#      , 140#      , 50#      , ,,,        ,  ,       ,am            ,  ,,,unknown
5394,44,980,244Cf,,61478.1     ,  2.6     ,           ,          , ,,, 19.5   , m,0.5    ,0+            ,17,1956,A=75 6;EC=25 6,3.707506274241387e-05
5395,44,990,244Es,,66030#      ,180#      ,           ,          , ,,, 37     , s,4      ,6+#           ,17,1973,B+=95 3;A=5 3;B+SF=0.011 4,1.1724592491190711e-06
5396,44,000,244Fm,,68960#      ,200#      ,           ,          , ,,,  3.12  ,ms,0.08   ,0+            ,17,1967,SF>97;B+<2;A<1,9.886683397977033e-11
5397,44,010,244Md,,75600#      ,370#      ,           ,          , ,,,  0.36  , s,0.14   ,3+#           ,  ,2020,A~100;B+ ?;B+SF<14,1.1407711613050421e-08
5398,44,011,244Md,,75800#      ,400#      , 200#      ,150#      , ,,, ~9     ,us,       ,7+#           ,  ,2020,IT=?;B+ ?,unknown
5399,45,930,245Np,,65850#      ,200#      ,           ,          , ,,,  6#    , m,       ,5/2+#         ,  ,    ,B- ?,1.1407711613050422e-05
5400,45,940,245Pu,,63178       , 14       ,           ,          , ,,, 10.5   , h,0.1    ,(9/2-)        ,11,1955,B-=100,0.0011978097193702942
5401,45,941,245Pu,,63443       , 14       , 264.5     ,  0.3     , ,,,330     ,ns,20     ,(5/2+)        ,11,2007,IT=100,1.0457068978629554e-14
5402,45,942,245Pu,,65180       ,400       ,2000       ,400       , ,,, 90     ,ns,30     ,              ,11,1971,SF~100;IT ?,2.8519279032626054e-15
5403,45,950,245Am,,61900.4     ,  1.9     ,           ,          , ,,,  2.05  , h,0.01   ,5/2+          ,11,1955,B-=100,0.00023385808806753364
5404,45,951,245Am,,64300#      ,400#      ,2400#      ,400#      , ,,,640     ,ns,60     ,              ,11,1972,SF~100;IT ?,2.0280376200978527e-14
5405,45,960,245Cm,,61004.5     ,  1.1     ,           ,          , ,,,  8.25  ,ky,0.07   ,7/2+*         ,11,1954,A=100;SF=6.1e-7 9,8250.0
5406,45,961,245Cm,,61360.4     ,  1.1     , 355.92    ,  0.10    , ,,,290     ,ns,20     ,1/2+          ,11,1975,IT=100,9.189545466068396e-15
5407,45,970,245Bk,,61813.8     ,  1.8     ,           ,          , ,,,  4.95  , d,0.03   ,3/2-          ,11,1951,EC=99.88 10;A=0.12 1,0.013552361396303902
5408,45,973,245Bk,,61860#      , 30#      ,  50#      , 30#      , ,,,>20#    ,us,       ,(7/2+)        ,  ,    ,IT ?; EC ?,unknown
5409,45,980,245Cf,,63385.2     ,  2.4     ,           ,          , ,,, 45.0   , m,1.5    ,1/2+          ,11,1956,B+=64.7 25;A=35.3 25,8.555783709787816e-05
5410,45,983,245Cf,,63442       ,  5       ,  57       ,  4       , ,,,100#    ,ns,       ,(7/2+)        ,11,2004,IT=100,3.168808781402895e-15
5411,45,990,245Es,,66320#      ,170#      ,           ,          , ,,,  1.11  , m,0.06   ,(3/2-)        ,11,1967,B+=51 6;A=49 6,2.110426648414328e-06
5412,45,991,245Es,,66350#      ,170#      ,  30#      , 15#      , ,,,>50#    ,us,       ,7/2+#         ,11,1967,IT ?;B+ ?; A ?,unknown
5413,45,993,245Es,,66600       ,160       , 283#      , 15#      ,T,,,        ,  ,       ,(7/2-)        ,11,2005,IT=100,unknown
5414,45,994,245Es,,66640#      ,190#      , 330#      ,100#      , ,,,        ,  ,       ,(1/2-)        ,  ,,,unknown
5415,45,000,245Fm,,70190#      ,200#      ,           ,          , ,,,  4.2   , s,1.3    ,1/2+#         ,11,1967,A~100;B+<7;SF<0.3,1.330899688189216e-07
5416,45,010,245Md,,75330#      ,260#      ,           ,          , ,,,  0.38  , s,0.10   ,(7/2-)        ,11,1996,A~100; B+ ?,1.2041473369331e-08
5417,45,011,245Md,,75430#      ,280#      , 100#      ,100#      , ,,,  0.90  ,ms,0.25   ,1/2-#         ,11,1996,SF~100;A ?,2.8519279032626055e-11
5418,46,940,246Pu,,65395       , 15       ,           ,          , ,,, 10.84  , d,0.02   ,0+            ,11,1955,B-=100,0.029678302532511976
5419,46,950,246Am,,64994#      , 18#      ,           ,          , ,,, 39     , m,3      ,7-            ,11,1955,B-=100,7.415012548482774e-05
5420,46,951,246Am,,65024       , 15       ,  30#      , 10#      , ,,, 25.0   , m,0.2    ,2(-)          ,11,1955,B-~100;IT ?,4.753213172104342e-05
5421,46,952,246Am,,66990#      ,800#      ,2000#      ,800#      , ,,, 73     ,us,10     ,              ,11,1972,SF~100;IT ?,2.313230410424113e-12
5422,46,960,246Cm,,62616.9     ,  1.5     ,           ,          , ,,,  4.706 ,ky,0.040  ,0+            ,11,1954,A=99.97385 7;SF=0.02615 7,4706.0
5423,46,961,246Cm,,63796.6     ,  1.5     ,1179.66    ,  0.13    , ,,,  1.12  , s,0.24   ,8-            ,11,2012,IT=100,3.5490658351712425e-08
5424,46,970,246Bk,,63970       , 60       ,           ,          , ,,,  1.80  , d,0.02   ,2(-)          ,11,1954,B+~100;A ?,0.004928131416837783
5425,46,980,246Cf,,64090.2     ,  1.5     ,           ,          , ,,, 35.7   , h,0.5    ,0+            ,11,1951,A=100;SF=2.4e-4 4;EC ?,0.004072553045859001
5426,46,990,246Es,,67820       , 90       ,           ,          , ,,,  7.5   , m,0.5    ,4-#           ,11,1954,B+=90.1 18;A=9.9 18;B+SF~0.003,1.4259639516313027e-05
