,Beta-decay fraction,Average beta decay energy,Beta-decay energy (keV),Half life (years),Isotope
2643,1.0,5.69,13292.3538,1.3689253935660506e-09,29Na
2644,1.0,5.69,3200.0,1.2358354247471289e-06,169Dy
2646,1.0,5.69,4188.9614,5.095444520495855e-06,154Pm
2648,1.0,5.69,6391.5934,1.1312647349608333e-07,152Pr
2651,1.0,5.69,4380.5376,3.346262073161457e-07,157Pm
2652,1.0,5.69,677.9196,0.00017681953000228153,230Ra
2657,1.0,5.69,8123.9327,1.0076811924861206e-08,115Ru
2662,1.0,62.0,2010.0,0.00011613050422085329,183Hf
2664,1.0,5.69,3947.0,2.0280376200978526e-06,210Hg
2667,1.0,5.69,4814.772,2.439982761680229e-07,163Eu
2669,1.0,5.69,3852.9638,1.536872258980404e-06,226Fr
2670,1.0,78.4,1806.014,0.0006826374629249373,145Pr
2673,1.0,5.69,12551.0,7.478388724110832e-09,49Ar
2677,1.0,5.69,3977.6759,1.1369685907673587e-05,61Fe
2678,1.0,5.69,11095.646,1.9709990620326006e-09,97Kr
2681,1.0,5.69,11397.3767,1.7111567419575631e-09,99Rb
2683,1.0,5.69,9729.8721,3.6029355844550915e-09,101Sr
2684,1.0,5.69,9731.3868,3.6124420107993e-09,95Kr
2685,1.0,5.69,7000.0,3.042056430146779e-08,170Tb
2687,1.0,5.69,10708.7611,4.087763328009734e-09,63Cr
2689,1.0,5.69,3762.5123,1.9012852688417367e-07,70Ni
2696,1.0,5.69,9068.8037,9.538114432022713e-09,27Na
2703,1.0,5.69,7472.6365,1.6192612872968792e-08,143Xe
2706,1.0,5.69,6605.9659,1.330899688189216e-07,73Cu
2710,1.0,5.69,13522.0,3.263873044844982e-09,135In
2711,1.0,48.63,167.3218,0.2392060232717317,35S
2713,1.0,5.69,9593.2084,5.703855806525211e-09,69Co
2714,1.0,125.0,722.109,0.0010723248916267396,156Sm
2717,1.0,5.69,10740.0,3.802570537683474e-09,139Sn
2721,1.0,5.69,7488.4677,6.05242477247953e-07,82As
2722,1.0,5.69,6899.1276,2.535047025122316e-08,113Ru
2724,1.0,93.0,355.7386,0.04057494866529774,225Ra
2725,1.0,13.0,2193.9105,0.0007643166780743782,234Pa
2727,1.0,5.69,8678.843,1.322343904479428e-07,17N
2729,1.0,5.69,12128.0,1.4798337009151519e-09,67Mn
2730,1.0,5.69,6916.2501,9.696554871092859e-07,76Ga
2733,1.0,5.69,2936.9,0.00032378888128374784,38S
2734,1.0,5.69,3362.0331,7.319948285040687e-07,121In
2735,1.0,5.69,6671.0057,2.4621644231500493e-08,121Ag
2738,1.0,5.69,3633.0,6.971379319086368e-07,203Pt
2740,1.0,0.66,2.4667,41600000000.0,187Re
2742,1.0,57.6,895.1896,0.030061601642710472,147Nd
2745,1.0,5.69,21750.3873,7.922021953507237e-11,29F
2750,1.0,5.69,9013.3301,2.1864780591679975e-09,102Sr
2754,1.0,152.7,4998.3984,5.804623925773823e-06,208Tl
2756,1.0,5.69,3430.1913,1.7872081527112325e-06,147Ce
2758,1.0,5.69,3717.0,1.0140188100489263e-06,205Au
2760,1.0,140.0,3434.9108,2.6998250817552662e-05,143La
2761,1.0,5.69,14031.6303,1.0488757066443581e-09,28Na
2773,1.0,187.0,3991.1283,0.0003570613734884782,112Ag
2774,1.0,5.69,3855.705,1.0552133242071638e-06,81As
2775,1.0,5.69,15160.0,9.91837148579106e-10,74Co
2778,1.0,5.69,5370.0,9.759931046720916e-08,120In
2780,1.0,5.69,1369.7517,8.650847973229903e-06,108Ru
2783,1.0,5.69,2180.722,1.235835424747129e-05,195Os
2785,1.0,5.69,4108.9014,6.014399067102694e-07,79Ge
2790,1.0,5.69,16004.1329,2.657679924962608e-08,8Li
2791,1.0,5.69,7746.0,5.957360509037442e-09,68Fe
2792,1.0,5.69,4758.0,6.210865211549674e-07,188Ta
2796,1.0,5.69,3038.2698,1.5844043907014473e-06,223At
2807,1.0,17.425,66.9768,101.2,63Ni
2808,1.0,5.69,6589.9874,1.0773949856769841e-07,112Rh
2816,1.0,5.69,6589.681,3.441326336603544e-08,127In
2817,1.0,104.0,4452.0031,1.9583238269069892e-05,95Y
2819,1.0,181.4,1177.2301,0.00015738839455471898,75Ge
2824,1.0,5.69,4260.7958,1.0900702208025958e-06,109Ru
2825,1.0,5.69,5352.0,5.9573605090374416e-08,175Ho
2827,1.0,5.69,11977.0,5.386974928384921e-09,140Sb
2828,1.0,5.69,4165.4444,6.0207366846655e-08,118Pd
2829,1.0,5.69,10426.6792,7.446700636296803e-09,142I
2831,1.0,5.69,3026.0244,9.506426344208685e-07,233Ra
2833,1.0,5.69,4228.2364,1.4259639516313025e-06,234Ac
2834,1.0,5.69,1047.6178,2.5648338276675032e-05,146Ce
2835,1.0,5.69,7304.8989,8.11215048039141e-08,71Ni
2837,1.0,36.7,2443.0767,2.3651988744391206e-05,151Nd
2840,1.0,5.69,16036.3062,7.351636372854716e-09,46Cl
2841,1.0,93.2,1627.1314,4.217050726290972e-05,155Sm
2845,1.0,69.0,2001.5652,0.00010871549167237052,49Sc
2849,1.0,5.69,5649.0,1.679468654143534e-07,190Ta
2863,1.0,33.0,1337.1034,0.0036139630390143737,232Pa
2864,1.0,5.69,5084.1233,1.4576520394453314e-07,114Ag
2867,1.0,5.69,17091.9853,9.506426344208685e-10,53K
2869,1.0,5.69,13710.0,9.506426344208685e-10,118Tc
2871,1.0,37.0,3454.0,0.0003077800593201004,150Pm
2873,1.0,73.0,1009.7971,0.0003536390600045631,167Ho
2878,1.0,5.69,11129.0,3.263873044844982e-09,141Sb
2882,1.0,5.69,7215.0114,6.717874616574137e-09,94Kr
2883,1.0,5.69,4965.7951,8.555783709787816e-06,236Ac
2894,1.0,5.69,12855.0,1.80622100539965e-09,116Tc
2896,1.0,5.69,13379.3679,3.0198747686769587e-09,85Ga
2898,1.0,5.69,6145.7062,1.5210282150733894e-07,158Pm
2906,1.0,5.69,16381.0765,3.6124420107993e-10,37Al
2908,1.0,5.69,3951.0,1.9012852688417367e-07,195Re
2913,1.0,5.69,5553.65,1.622430096078282e-08,126Cd
2916,1.0,21.8,2890.6633,7.78259436712551e-07,110Ag
2924,1.0,5.69,1214.1824,5.703855806525211e-05,190W
2930,1.0,5.69,8899.0,1.4259639516313027e-09,120Ru
2931,1.0,5.69,1965.334,3.232184957030953e-06,52Ti
2933,1.0,5.69,12288.0534,5.957360509037443e-10,28Ne
2935,1.0,5.69,8088.6967,3.878621948437143e-08,75Cu
2936,1.0,5.69,3505.2147,2.5569751818896237e-08,6He
2944,1.0,5.69,696.484,0.00020343752376606586,224Rn
2947,1.0,5.69,3434.0,4.3539432656475775e-06,244Np
2950,1.0,51.0,2057.898,2.6998250817552662e-05,222Fr
2951,1.0,5.69,1700.0,0.0008669860825918321,256Es
2954,1.0,5.69,11429.0,1.2041473369331e-09,127Pd
2965,1.0,489.0,5322.0404,2.9279793140162748e-06,62Co
2967,1.0,5.69,14167.7504,1.2092174309833445e-09,35Al
2968,1.0,5.69,7238.4816,2.915304078890663e-08,119Pd
2969,1.0,5.69,5802.9994,3.6441300986133285e-08,157Nd
2977,1.0,5.69,11688.5069,3.9926990645676474e-08,49K
2979,1.0,5.69,1036.8,0.02035044490075291,111Ag
2985,1.0,5.69,9925.3249,2.8519279032626053e-08,106Nb
2986,1.0,5.69,4859.3866,1.0457068978629552e-06,218Bi
2988,1.0,5.69,12657.0,8.714224148857961e-10,65Cr
2990,1.0,5.69,10930.0,1.9329733566557657e-09,88Ge
3003,1.0,5.69,1360.0,2.6427865236900142e-05,241Np
