,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
2074,7178.373,2.2466854260146524e-08,61Mn,1.0,unknown,0.709,unknown,0.0,-17.611224757872964
2075,3396.3337,3.9926990645676475e-06,75Ga,1.0,unknown,125.99999999999999,unknown,0.0,-12.431043098471477
2076,-819.8588,unknown,155Gd,0.0,unknown,unknown,unknown,0.0,0.0
2077,-1313.7716,0.004243668720054757,229Pa,0.0,unknown,133920.0,unknown,0.0,-5.462327119699654
2078,4228.2364,1.4259639516313025e-06,234Ac,1.0,unknown,44.99999999999999,unknown,0.0,-13.460662515652636
2079,-1792.0,0.00022815423226100844,267Db,0.0,unknown,7200.0,unknown,0.0,-8.38548870041881
2080,687.0,10.728,85Kr,1.0,1.5,338549932.8,0.00174303603217841,1.062338667886926e-09,2.3728571459793772
2081,2990.1656,2.2181661469820262e-07,199Ir,1.0,unknown,6.999999999999999,unknown,0.0,-15.321414856367642
2082,-7279.5556,6.717874616574136e-07,179Pt,0.0,unknown,21.199999999999996,unknown,0.0,-14.21332382374499
2083,9116.0536,2.3639313509265594e-08,79Zn,1.0,unknown,0.7459999999999999,unknown,0.0,-17.560354684201332
2084,-8555.0,9.411362080766597e-07,121Ba,0.0,unknown,29.699999999999996,unknown,0.0,-13.876177959614303
2085,-1558.2272,3.0040307247699444e-05,116Sb,0.0,477,948.0,144994.00814063833,0.0,-10.412970503167934
2086,-4349.4074,7.478388724110832e-08,142Eu,0.0,unknown,2.36,unknown,0.0,-16.408663386385438
2087,-1416.3741,unknown,107Ag,0.0,unknown,unknown,unknown,0.0,0.0
2088,-1364.6792,unknown,77Se,0.0,1.32,unknown,unknown,0.0,0.0
2089,10501.5182,8.936040763556164e-09,118Rh,1.0,unknown,0.282,unknown,0.0,-18.53317321346698
2090,1071.4936,0.006055213324207164,149Pm,1.0,51.5,191088.0,60.48442026873191,1.0931483544830716e-16,-5.106835671514748
2091,-12221.7457,3.581989758410018e-07,23Mg,0.0,unknown,11.303899999999999,unknown,0.0,-14.842177206505903
2092,-1533.0,1.5844043907014474e-07,292Mc,0.0,unknown,5.0,unknown,0.0,-15.657887092988856
2093,12721.0,1.2675235125611579e-09,99Kr,1.0,unknown,0.039999999999999994,unknown,0.0,-20.486200830291157
2094,-1374.2287,unknown,174Yb,0.0,unknown,unknown,unknown,0.0,0.0
