,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
120,13,9.0,22.0,F,+,2793.376,12.399,7624.2954,0.5636,B-,10818.0916,12.3990,22.002998812,13.310
121,12,10.0,22.0,Ne,NA,-8024.716,0.018,8080.4656,0.0008,B-,-2843.3243,0.1325,21.991385113,0.018
122,11,11.0,22.0,Na,NA,-5181.391,0.132,7915.6624,0.0060,B-,-4781.4051,0.1631,21.994437547,0.141
123,10,12.0,22.0,Mg,NA,-399.986,0.159,7662.7645,0.0072,B-,-18601.0,401#,21.999570597,0.170
124,9,13.0,22.0,Al,x,18201#,401#,6782#,18#,B-,-15439.0,641#,22.01954,430#
125,8,14.0,22.0,Si,x,33640#,500#,6044#,23#,B-,*,NA,22.036114,537#
126,17,6.0,23.0,C,x,64171#,997#,5077#,43#,B-,27450.0,1082#,23.06889,1070#
127,16,7.0,23.0,N,x,36720.429,420.570,6236.6721,18.2856,B-,22099.0584,437.8271,23.039421,451.500
128,15,8.0,23.0,O,x,14621.371,121.712,7163.4856,5.2918,B-,11336.1072,126.1904,23.015696686,130.663
129,14,9.0,23.0,F,NA,3285.263,33.320,7622.3447,1.4487,B-,8439.3084,33.3206,23.003526875,35.770
130,13,10.0,23.0,Ne,-n,-5154.045,0.104,7955.2561,0.0045,B-,4375.8085,0.1044,22.994466905,0.112
131,12,11.0,23.0,Na,NA,-9529.85352,0.00181,8111.4936,0.0002,B-,-4056.179,0.0317,22.98976928195,0.00194
132,11,12.0,23.0,Mg,-,-5473.675,0.032,7901.1229,0.0014,B-,-12221.7457,0.3461,22.994123768,0.034
133,10,13.0,23.0,Al,--,6748.071,0.345,7335.7275,0.0150,B-,-17202.0,500#,23.007244351,0.370
134,9,14.0,23.0,Si,x,23950#,500#,6554#,22#,B-,*,NA,23.025711,537#
135,17,7.0,24.0,N,x,46938#,401#,5887#,17#,B-,28438.0,433#,24.05039,430#
136,16,8.0,24.0,O,x,18500.404,164.874,7039.6855,6.8698,B-,10955.8885,191.6327,24.019861,177.000
137,15,9.0,24.0,F,x,7544.516,97.670,7463.5831,4.0696,B-,13496.1583,97.6717,24.00809937,104.853
138,14,10.0,24.0,Ne,-nn,-5951.642,0.513,7993.3252,0.0214,B-,2466.2583,0.5130,23.993610649,0.550
139,13,11.0,24.0,Na,-n,-8417.901,0.017,8063.4882,0.0007,B-,5515.6774,0.0210,23.990963012,0.017
140,12,12.0,24.0,Mg,NA,-13933.578,0.013,8260.7103,0.0006,B-,-13884.766,0.2282,23.985041689,0.013
141,11,13.0,24.0,Al,NA,-48.812,0.228,7649.5806,0.0095,B-,-10793.9978,19.4734,23.999947598,0.244
142,10,14.0,24.0,Si,--,10745.186,19.472,7167.2329,0.8113,B-,-23275.0,501#,24.01153543,20.904
143,9,15.0,24.0,P,x,34020#,500#,6165#,21#,B-,*,NA,24.036522,537#
144,18,7.0,25.0,N,x,55983#,503#,5613#,20#,B-,28654.0,529#,25.0601,540#
145,17,8.0,25.0,O,-n,27329.030,165.084,6727.8058,6.6034,B-,15994.8633,191.1909,25.029338919,177.225
146,16,9.0,25.0,F,x,11334.167,96.442,7336.3065,3.8577,B-,13369.6698,100.7212,25.012167727,103.535
147,15,10.0,25.0,Ne,NA,-2035.503,29.045,7839.7994,1.1618,B-,7322.3107,29.0701,24.997814797,31.181
148,14,11.0,25.0,Na,-nn,-9357.814,1.200,8101.3979,0.0480,B-,3834.9684,1.2009,24.989953974,1.288
149,13,12.0,25.0,Mg,NA,-13192.782,0.047,8223.5028,0.0019,B-,-4276.808,0.0447,24.985836966,0.050
150,12,13.0,25.0,Al,NA,-8915.974,0.065,8021.1366,0.0026,B-,-12743.2956,10.0002,24.990428308,0.069
151,11,14.0,25.0,Si,+3n,3827.322,10.000,7480.1109,0.4000,B-,-16363.0,400#,25.004108798,10.735
152,10,15.0,25.0,P,x,20190#,400#,6794#,16#,B-,*,NA,25.021675,429#
153,18,8.0,26.0,O,-nn,34661.041,164.950,6497.4790,6.3442,B-,15986.3855,196.6301,26.037210155,177.081
154,17,9.0,26.0,F,NA,18674.655,107.027,7082.2497,4.1164,B-,18193.5414,108.6022,26.020048065,114.898
155,16,10.0,26.0,Ne,x,481.114,18.429,7751.9110,0.7088,B-,7341.894,18.7585,26.000516496,19.784
156,15,11.0,26.0,Na,x,-6860.780,3.502,8004.2013,0.1347,B-,9353.7631,3.5018,25.992634649,3.759
157,14,12.0,26.0,Mg,NA,-16214.544,0.029,8333.8711,0.0011,B-,-4004.4042,0.0629,25.982592972,0.031
158,13,13.0,26.0,Al,NA,-12210.139,0.066,8149.7653,0.0026,B-,-5069.1361,0.0849,25.986891876,0.071
159,12,14.0,26.0,Si,-,-7141.003,0.108,7924.7083,0.0041,B-,-18114.0,196#,25.992333818,0.115
160,11,15.0,26.0,P,x,10973#,196#,7198#,8#,B-,-16707.0,631#,26.01178,210#
161,10,16.0,26.0,S,x,27680#,600#,6525#,23#,B-,*,NA,26.029716,644#
162,19,8.0,27.0,O,x,44670#,500#,6185#,19#,B-,19536.0,514#,27.047955,537#
163,18,9.0,27.0,F,NA,25133.478,120.198,6879.6662,4.4518,B-,18082.568,150.6211,27.026981897,129.037
164,17,10.0,27.0,Ne,x,7050.910,90.770,7520.4151,3.3619,B-,12568.7005,90.8467,27.007569462,97.445
165,16,11.0,27.0,Na,++,-5517.791,3.726,7956.9467,0.1380,B-,9068.8037,3.7266,26.994076408,4.000
166,15,12.0,27.0,Mg,NA,-14586.594,0.047,8263.8525,0.0018,B-,2610.2694,0.0669,26.984340647,0.050
167,14,13.0,27.0,Al,NA,-17196.864,0.047,8331.5533,0.0018,B-,-4812.3583,0.0964,26.981538408,0.050
168,13,14.0,27.0,Si,-,-12384.505,0.107,8124.3420,0.0040,B-,-11725.473,9.0013,26.986704687,0.115
169,12,15.0,27.0,P,-p,-659.032,9.001,7661.0894,0.3334,B-,-18150.0,400#,26.999292499,9.662
170,11,16.0,27.0,S,-,17491#,400#,6960#,15#,B-,*,NA,27.018777,430#
171,20,8.0,28.0,O,x,52080#,699#,5988#,25#,B-,18676.0,709#,28.05591,750#
172,19,9.0,28.0,F,-n,33403.796,120.347,6626.8567,4.2981,B-,22104.0579,174.2886,28.035860448,129.198
173,18,10.0,28.0,Ne,x,11299.738,126.068,7388.3463,4.5024,B-,12288.0534,126.4833,28.012130767,135.339
174,17,11.0,28.0,Na,x,-988.315,10.246,7799.2644,0.3659,B-,14031.6303,10.2498,27.998939,11.000
175,16,12.0,28.0,Mg,x,-15019.946,0.261,8272.4531,0.0093,B-,1830.774,0.2653,27.983875426,0.280
176,15,13.0,28.0,Al,-n,-16850.719,0.049,8309.8969,0.0018,B-,4642.0776,0.0486,27.981910009,0.052
177,14,14.0,28.0,Si,NA,-21492.79711,0.00051,8447.7445,0.0002,B-,-14344.9407,1.1473,27.97692653442,0.00055
178,13,15.0,28.0,P,NA,-7147.856,1.147,7907.4842,0.0410,B-,-11221.0593,160.0041,27.99232646,1.231
179,12,16.0,28.0,S,--,4073.203,160.000,7478.7911,5.7143,B-,-24197.0,525#,28.004372762,171.767
180,11,17.0,28.0,Cl,-p,28270#,500#,6587#,18#,B-,*,NA,28.030349,537#
181,20,9.0,29.0,F,x,40150.190,525.363,6444.0314,18.1160,B-,21750.3873,546.2212,29.043103,564.000
182,19,10.0,29.0,Ne,x,18399.803,149.505,7167.0673,5.1553,B-,15719.8092,149.6847,29.019753,160.500
