,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
767,40,35.0,75.0,Br,x,-69107.020,4.285,8627.6497,0.0571,B-,-4783.388,9.1671,74.925810566,4.600
768,39,36.0,75.0,Kr,x,-64323.632,8.104,8553.4399,0.1081,B-,-7104.9299,8.1895,74.930945744,8.700
769,38,37.0,75.0,Rb,x,-57218.702,1.180,8448.2762,0.0157,B-,-10600.0,220.0000,74.9385732,1.266
770,37,38.0,75.0,Sr,-,-46618.702,220.003,8296.5116,2.9334,B-,-14799.0,372#,74.949952767,236.183
771,36,39.0,75.0,Y,x,-31820#,300#,8089#,4#,B-,*,NA,74.96584,322#
772,50,26.0,76.0,Fe,x,-10590#,600#,7943#,8#,B-,15070.0,781#,75.988631,644#
773,49,27.0,76.0,Co,x,-25660#,500#,8131#,7#,B-,16530.0,583#,75.972453,537#
774,48,28.0,76.0,Ni,x,-42190#,300#,8338#,4#,B-,8791.0,300#,75.954707,322#
775,47,29.0,76.0,Cu,x,-50981.627,0.913,8443.6018,0.0120,B-,11321.3964,1.7183,75.945268974,0.980
776,46,30.0,76.0,Zn,NA,-62303.024,1.456,8582.2735,0.0192,B-,3993.6241,2.4384,75.933114956,1.562
777,45,31.0,76.0,Ga,x,-66296.648,1.956,8624.5272,0.0257,B-,6916.2501,1.9562,75.928827624,2.100
778,44,32.0,76.0,Ge,NA,-73212.898,0.018,8705.2364,0.0003,B-,-921.5145,0.8864,75.921402725,0.019
779,43,33.0,76.0,As,-n,-72291.384,0.886,8682.8172,0.0117,B-,2960.5756,0.8864,75.922392011,0.951
780,42,34.0,76.0,Se,NA,-75251.959,0.016,8711.4781,0.0003,B-,-4962.881,9.3218,75.919213702,0.017
781,41,35.0,76.0,Br,-,-70289.078,9.322,8635.8830,0.1227,B-,-1275.3724,10.1490,75.924541574,10.007
782,40,36.0,76.0,Kr,NA,-69013.706,4.013,8608.8077,0.0528,B-,-8534.6172,4.1214,75.925910743,4.308
783,39,37.0,76.0,Rb,x,-60479.089,0.938,8486.2161,0.0123,B-,-6231.4432,34.4780,75.935073031,1.006
784,38,38.0,76.0,Sr,x,-54247.645,34.465,8393.9294,0.4535,B-,-15998.0,302#,75.94176276,37.000
785,37,39.0,76.0,Y,x,-38250#,300#,8173#,4#,B-,*,NA,75.958937,322#
786,50,27.0,77.0,Co,x,-21910#,600#,8082#,8#,B-,15440.0,721#,76.976479,644#
787,49,28.0,77.0,Ni,x,-37350#,400#,8272#,5#,B-,11513.0,400#,76.959903,429#
788,48,29.0,77.0,Cu,x,-48862.828,1.211,8411.2501,0.0157,B-,9926.375,2.3148,76.947543599,1.300
789,47,30.0,77.0,Zn,NA,-58789.203,1.973,8530.0037,0.0256,B-,7203.1495,3.1237,76.936887197,2.117
790,46,31.0,77.0,Ga,x,-65992.352,2.422,8613.3907,0.0315,B-,5220.5176,2.4225,76.929154299,2.600
791,45,32.0,77.0,Ge,-n,-71212.870,0.053,8671.0293,0.0007,B-,2703.4642,1.6926,76.923549843,0.056
792,44,33.0,77.0,As,NA,-73916.334,1.692,8695.9789,0.0220,B-,683.1627,1.6920,76.920647555,1.816
793,43,34.0,77.0,Se,NA,-74599.497,0.062,8694.6908,0.0008,B-,-1364.6792,2.8099,76.91991415,0.067
794,42,35.0,77.0,Br,-,-73234.818,2.811,8666.8073,0.0365,B-,-3065.3663,3.4244,76.921379193,3.017
795,41,36.0,77.0,Kr,x,-70169.451,1.956,8616.8370,0.0254,B-,-5338.9516,2.3510,76.924669999,2.100
796,40,37.0,77.0,Rb,x,-64830.500,1.304,8537.3396,0.0169,B-,-7027.0566,8.0244,76.930401599,1.400
797,39,38.0,77.0,Sr,x,-57803.443,7.918,8435.9188,0.1028,B-,-11365.0,203#,76.937945454,8.500
798,38,39.0,77.0,Y,-p,-46439#,203#,8278#,3#,B-,-14839.0,448#,76.950146,218#
799,37,40.0,77.0,Zr,x,-31600#,400#,8075#,5#,B-,*,NA,76.966076,429#
800,51,27.0,78.0,Co,x,-15320#,700#,7997#,9#,B-,19560.0,806#,77.983553,751#
801,50,28.0,78.0,Ni,x,-34880#,400#,8238#,5#,B-,9910.0,400#,77.962555,429#
802,49,29.0,78.0,Cu,NA,-44789.474,13.332,8354.6695,0.1709,B-,12693.768,13.4727,77.951916524,14.312
803,48,30.0,78.0,Zn,NA,-57483.242,1.944,8507.3800,0.0249,B-,6220.8433,2.2088,77.938289204,2.086
804,47,31.0,78.0,Ga,NA,-63704.085,1.051,8577.1043,0.0135,B-,8157.9729,3.6884,77.931610854,1.127
805,46,32.0,78.0,Ge,-nn,-71862.058,3.536,8671.6636,0.0453,B-,954.9114,10.3987,77.922852911,3.795
806,45,33.0,78.0,As,+pn,-72816.970,9.779,8673.8760,0.1254,B-,4208.9819,9.7801,77.921827771,10.498
807,44,34.0,78.0,Se,NA,-77025.952,0.179,8717.8072,0.0023,B-,-3573.7836,3.5750,77.917309244,0.191
808,43,35.0,78.0,Br,-,-73452.168,3.580,8661.9594,0.0459,B-,726.1153,3.5845,77.921145858,3.842
809,42,36.0,78.0,Kr,NA,-74178.283,0.307,8661.2385,0.0039,B-,-7242.856,3.2520,77.920366341,0.329
810,41,37.0,78.0,Rb,x,-66935.427,3.237,8558.3512,0.0415,B-,-3761.4779,8.1248,77.928141866,3.475
811,40,38.0,78.0,Sr,x,-63173.949,7.452,8500.0971,0.0955,B-,-11001.0,298#,77.932179979,8.000
812,39,39.0,78.0,Y,x,-52173#,298#,8349#,4#,B-,-11323.0,499#,77.94399,320#
813,38,40.0,78.0,Zr,x,-40850#,400#,8194#,5#,B-,*,NA,77.956146,429#
814,51,28.0,79.0,Ni,x,-28160#,500#,8150#,6#,B-,14248.0,511#,78.969769,537#
815,50,29.0,79.0,Cu,x,-42408.039,104.979,8320.9380,1.3289,B-,11024.2629,105.0030,78.9544731,112.700
816,49,30.0,79.0,Zn,NA,-53432.302,2.225,8450.5825,0.0282,B-,9116.0536,2.5295,78.942638067,2.388
817,48,31.0,79.0,Ga,NA,-62548.355,1.208,8556.0725,0.0153,B-,6978.8242,37.1467,78.932851582,1.296
818,47,32.0,79.0,Ge,NA,-69527.18,37.161,8634.5089,0.4704,B-,4108.9014,37.4361,78.925359506,39.893
819,46,33.0,79.0,As,NA,-73636.081,5.325,8676.6172,0.0674,B-,2281.3849,5.3284,78.920948419,5.716
820,45,34.0,79.0,Se,-n,-75917.466,0.223,8695.5923,0.0028,B-,150.6016,1.0186,78.918499252,0.238
821,44,35.0,79.0,Br,NA,-76068.067,1.001,8687.5956,0.0127,B-,-1625.7778,3.3333,78.918337574,1.074
822,43,36.0,79.0,Kr,-,-74442.290,3.480,8657.1130,0.0441,B-,-3639.5114,3.9423,78.920082919,3.736
823,42,37.0,79.0,Rb,NA,-70802.778,1.943,8601.1401,0.0246,B-,-5323.114,7.5630,78.923990095,2.085
824,41,38.0,79.0,Sr,NA,-65479.664,7.421,8523.8558,0.0939,B-,-7676.7291,80.4515,78.929704692,7.967
825,40,39.0,79.0,Y,x,-57802.935,80.108,8416.7788,1.0140,B-,-11033.0,310#,78.937946,86.000
826,39,40.0,79.0,Zr,x,-46770#,300#,8267#,4#,B-,-15120.0,583#,78.94979,322#
827,38,41.0,79.0,Nb,x,-31650#,500#,8066#,6#,B-,*,NA,78.966022,537#
828,52,28.0,80.0,Ni,x,-23240#,600#,8088#,7#,B-,13440.0,671#,79.975051,644#
829,51,29.0,80.0,Cu,x,-36679#,300#,8246#,4#,B-,14969.0,300#,79.960623,322#
830,50,30.0,80.0,Zn,NA,-51648.619,2.585,8423.5457,0.0323,B-,7575.0553,3.8774,79.944552929,2.774
831,49,31.0,80.0,Ga,x,-59223.675,2.891,8508.4545,0.0361,B-,10311.6397,3.5409,79.936420773,3.103
832,48,32.0,80.0,Ge,x,-69535.314,2.054,8627.5707,0.0257,B-,2679.2869,3.9156,79.925350773,2.205
833,47,33.0,80.0,As,x,-72214.601,3.333,8651.2824,0.0417,B-,5544.8861,3.4412,79.92247444,3.578
834,46,34.0,80.0,Se,NA,-77759.487,0.947,8710.8142,0.0118,B-,-1870.4623,0.3095,79.916521761,1.016
835,45,35.0,80.0,Br,NA,-75889.025,0.993,8677.6541,0.0124,B-,2004.4299,1.1413,79.918529784,1.065
836,44,36.0,80.0,Kr,NA,-77893.455,0.695,8692.9301,0.0087,B-,-5717.9785,1.9883,79.91637794,0.745
837,43,37.0,80.0,Rb,x,-72175.476,1.863,8611.6760,0.0233,B-,-1864.009,3.9331,79.922516442,2.000
838,42,38.0,80.0,Sr,x,-70311.467,3.464,8578.5966,0.0433,B-,-9163.305,7.1389,79.924517538,3.718
839,41,39.0,80.0,Y,x,-61148.162,6.242,8454.2759,0.0780,B-,-6388.0,300#,79.93435475,6.701
840,40,40.0,80.0,Zr,x,-54760#,300#,8365#,4#,B-,-16339.0,500#,79.941213,322#
841,39,41.0,80.0,Nb,x,-38420#,400#,8151#,5#,B-,*,NA,79.958754,429#
842,53,28.0,81.0,Ni,x,-16090#,700#,8000#,9#,B-,15820.0,761#,80.982727,751#
843,52,29.0,81.0,Cu,x,-31910#,300#,8185#,4#,B-,14289.0,300#,80.965743,322#
844,51,30.0,81.0,Zn,x,-46199.669,5.030,8351.9262,0.0621,B-,11428.2924,5.9960,80.950402617,5.400
845,50,31.0,81.0,Ga,x,-57627.962,3.264,8483.3576,0.0403,B-,8663.7335,3.8508,80.938133841,3.503
846,49,32.0,81.0,Ge,x,-66291.695,2.055,8580.6587,0.0254,B-,6241.6189,3.3436,80.928832941,2.205
847,48,33.0,81.0,As,NA,-72533.314,2.644,8648.0571,0.0326,B-,3855.705,2.8072,80.922132288,2.838
848,47,34.0,81.0,Se,NA,-76389.019,0.977,8685.9998,0.0121,B-,1588.0317,1.3787,80.917993019,1.049
849,46,35.0,81.0,Br,NA,-77977.051,0.978,8695.9465,0.0121,B-,-280.8517,0.4713,80.916288197,1.049
850,45,36.0,81.0,Kr,NA,-77696.199,1.074,8682.8206,0.0133,B-,-2239.4954,5.0188,80.916589703,1.152
851,44,37.0,81.0,Rb,NA,-75456.704,4.904,8645.5139,0.0605,B-,-3928.5695,5.8170,80.9189939,5.265
852,43,38.0,81.0,Sr,x,-71528.134,3.128,8587.3545,0.0386,B-,-5815.2156,6.2451,80.923211393,3.358
853,42,39.0,81.0,Y,x,-65712.919,5.405,8505.9031,0.0667,B-,-8188.5003,92.3762,80.929454283,5.802
854,41,40.0,81.0,Zr,x,-57524.418,92.218,8395.1519,1.1385,B-,-11164.0,410#,80.938245,99.000
855,40,41.0,81.0,Nb,x,-46360#,400#,8248#,5#,B-,-14900.0,640#,80.95023,429#
856,39,42.0,81.0,Mo,x,-31460#,500#,8054#,6#,B-,*,NA,80.966226,537#
857,54,28.0,82.0,Ni,x,-10720#,800#,7935#,10#,B-,15010.0,894#,81.988492,859#
858,53,29.0,82.0,Cu,x,-25730#,400#,8108#,5#,B-,16584.0,400#,81.972378,429#
859,52,30.0,82.0,Zn,x,-42313.960,3.074,8301.1175,0.0375,B-,10616.7652,3.9162,81.954574097,3.300
860,51,31.0,82.0,Ga,x,-52930.725,2.426,8421.0494,0.0296,B-,12484.3497,3.2960,81.943176531,2.604
861,50,32.0,82.0,Ge,x,-65415.075,2.240,8563.7567,0.0273,B-,4690.3523,4.3452,81.929774031,2.405
862,49,33.0,82.0,As,x,-70105.427,3.729,8611.4153,0.0455,B-,7488.4677,3.7579,81.924738731,4.003
863,48,34.0,82.0,Se,NA,-77593.895,0.466,8693.1973,0.0057,B-,-95.2184,1.0767,81.916699531,0.500
864,47,35.0,82.0,Br,NA,-77498.677,0.971,8682.4953,0.0118,B-,3093.1185,0.9714,81.916801752,1.042
865,46,36.0,82.0,Kr,NA,-80591.79509,0.00551,8710.6754,0.0003,B-,-4403.9824,3.0088,81.91348115368,0.00591
866,45,37.0,82.0,Rb,IT,-76187.813,3.009,8647.4275,0.0367,B-,-177.7503,6.7048,81.918209023,3.230
867,44,38.0,82.0,Sr,NA,-76010.062,5.992,8635.7190,0.0731,B-,-7945.965,8.1324,81.918399845,6.432
868,43,39.0,82.0,Y,x,-68064.097,5.499,8529.2762,0.0671,B-,-4450.0341,5.7221,81.926930189,5.902
869,42,40.0,82.0,Zr,x,-63614.063,1.584,8465.4666,0.0193,B-,-11804.0,300#,81.931707497,1.700
870,41,41.0,82.0,Nb,x,-51810#,300#,8312#,4#,B-,-11440.0,500#,81.94438,322#
871,40,42.0,82.0,Mo,x,-40370#,400#,8163#,5#,B-,*,NA,81.956661,429#
872,54,29.0,83.0,Cu,x,-20390#,500#,8044#,6#,B-,15900.0,583#,82.97811,537#
873,53,30.0,83.0,Zn,x,-36290#,300#,8226#,4#,B-,12967.0,300#,82.961041,322#
874,52,31.0,83.0,Ga,x,-49257.129,2.612,8372.5756,0.0315,B-,11719.3136,3.5592,82.9471203,2.804
875,51,32.0,83.0,Ge,x,-60976.442,2.427,8504.3462,0.0292,B-,8692.8893,3.6979,82.9345391,2.604
876,50,33.0,83.0,As,x,-69669.331,2.799,8599.6540,0.0337,B-,5671.2117,4.1290,82.9252069,3.004
877,49,34.0,83.0,Se,-n,-75340.543,3.036,8658.5560,0.0366,B-,3673.178,4.8392,82.919118604,3.259
878,48,35.0,83.0,Br,NA,-79013.721,3.795,8693.3852,0.0457,B-,976.9222,3.7947,82.915175285,4.073
879,47,36.0,83.0,Kr,NA,-79990.643,0.009,8695.7295,0.0003,B-,-920.0039,2.3288,82.914126516,0.009
880,46,37.0,83.0,Rb,NA,-79070.639,2.329,8675.2193,0.0281,B-,-2273.0239,6.4245,82.915114181,2.500
881,45,38.0,83.0,Sr,NA,-76797.616,6.834,8638.4076,0.0823,B-,-4591.9435,19.8444,82.917554372,7.336
882,44,39.0,83.0,Y,x,-72205.672,18.631,8573.6571,0.2245,B-,-6294.0125,19.7074,82.922484026,20.000
883,43,40.0,83.0,Zr,x,-65911.659,6.430,8488.3997,0.0775,B-,-8298.7493,162.2075,82.929240926,6.902
884,42,41.0,83.0,Nb,x,-57612.910,162.080,8378.9889,1.9528,B-,-11273.0,432#,82.93815,174.000
885,41,42.0,83.0,Mo,x,-46340#,401#,8234#,5#,B-,-15020.0,641#,82.950252,430#
886,40,43.0,83.0,Tc,x,-31320#,500#,8043#,6#,B-,*,NA,82.966377,537#
887,55,29.0,84.0,Cu,x,-13720#,500#,7965#,6#,B-,18110.0,640#,83.985271,537#
888,54,30.0,84.0,Zn,x,-31830#,400#,8171#,5#,B-,12264.0,401#,83.965829,429#
889,53,31.0,84.0,Ga,x,-44094.136,29.808,8307.5250,0.3549,B-,14054.2989,29.9760,83.952663,32.000
890,52,32.0,84.0,Ge,x,-58148.435,3.171,8465.5244,0.0377,B-,7705.1329,4.4789,83.93757509,3.403
891,51,33.0,84.0,As,x,-65853.568,3.171,8547.9385,0.0377,B-,10094.1624,3.7219,83.92930329000001,3.403
892,50,34.0,84.0,Se,NA,-75947.731,1.961,8658.7935,0.0233,B-,1835.3638,25.7652,83.918466761,2.105
893,49,35.0,84.0,Br,NA,-77783.094,25.730,8671.3294,0.3063,B-,4656.251,25.7300,83.916496417,27.622
894,48,36.0,84.0,Kr,NA,-82439.34527,0.00382,8717.4473,0.0003,B-,-2680.3708,2.1940,83.91149772708,0.00410
895,47,37.0,84.0,Rb,NA,-79758.975,2.194,8676.2244,0.0261,B-,890.6058,2.3356,83.914375223,2.355
896,46,38.0,84.0,Sr,NA,-80649.58,1.243,8677.5132,0.0148,B-,-6755.1411,4.4114,83.913419118,1.334
897,45,39.0,84.0,Y,NA,-73894.439,4.299,8587.7812,0.0512,B-,-2472.7471,6.9767,83.92067106,4.615
898,44,40.0,84.0,Zr,x,-71421.692,5.499,8549.0301,0.0655,B-,-10227.8497,5.5133,83.923325663,5.903
899,43,41.0,84.0,Nb,x,-61193.842,0.401,8417.9563,0.0048,B-,-7024.0,298#,83.934305711,0.430
900,42,42.0,84.0,Mo,x,-54170#,298#,8325#,4#,B-,-16470.0,499#,83.941846,320#
901,41,43.0,84.0,Tc,x,-37700#,400#,8120#,5#,B-,*,NA,83.959527,429#
902,55,30.0,85.0,Zn,x,-25100#,500#,8090#,6#,B-,14644.0,502#,84.973054,537#
903,54,31.0,85.0,Ga,x,-39744.059,37.260,8253.5687,0.4384,B-,13379.3679,37.4459,84.957333,40.000
904,53,32.0,85.0,Ge,x,-53123.427,3.729,8401.7689,0.0439,B-,10065.7253,4.8303,84.942969658,4.003
905,52,33.0,85.0,As,x,-63189.152,3.078,8510.9851,0.0362,B-,9224.4929,4.0313,84.932163658,3.304
906,51,34.0,85.0,Se,+3p,-72413.645,2.613,8610.3045,0.0307,B-,6161.8335,4.0313,84.922260758,2.804
907,50,35.0,85.0,Br,+n2p,-78575.478,3.078,8673.5926,0.0362,B-,2904.8622,3.6705,84.915645758,3.304
908,49,36.0,85.0,Kr,+,-81480.341,2.000,8698.5633,0.0235,B-,687.0,2.0000,84.91252726,2.147
909,48,37.0,85.0,Rb,NA,-82167.34065,0.00500,8697.4416,0.0003,B-,-1064.051,2.8132,84.91178973604,0.00537
910,47,38.0,85.0,Sr,NA,-81103.29,2.813,8675.7193,0.0331,B-,-3261.1584,19.1729,84.912932041,3.020
911,46,39.0,85.0,Y,x,-77842.131,18.965,8628.1486,0.2231,B-,-4666.9352,20.0257,84.916433039,20.360
912,45,40.0,85.0,Zr,x,-73175.196,6.430,8564.0394,0.0756,B-,-6895.512,7.6250,84.921443199,6.902
913,44,41.0,85.0,Nb,x,-66279.684,4.099,8473.7117,0.0482,B-,-8769.9238,16.3572,84.928845836,4.400
914,43,42.0,85.0,Mo,x,-57509.760,15.835,8361.3320,0.1863,B-,-11660.0,400#,84.938260736,17.000
915,42,43.0,85.0,Tc,x,-45850#,400#,8215#,5#,B-,-15220.0,640#,84.950778,429#
916,41,44.0,85.0,Ru,x,-30630#,500#,8027#,6#,B-,*,NA,84.967117,537#
917,56,30.0,86.0,Zn,x,-20062#,500#,8032#,6#,B-,13699.0,640#,85.978463,537#
918,55,31.0,86.0,Ga,x,-33760#,400#,8182#,5#,B-,15640.0,593#,85.963757,429#
919,54,32.0,86.0,Ge,x,-49399.927,437.802,8354.6300,5.0907,B-,9562.2229,437.8158,85.946967,470.000
920,53,33.0,86.0,As,x,-58962.150,3.450,8456.7215,0.0401,B-,11541.0256,4.2666,85.936701532,3.703
921,52,34.0,86.0,Se,x,-70503.175,2.520,8581.8224,0.0293,B-,5129.086,3.9717,85.924311732,2.705
922,51,35.0,86.0,Br,+pp,-75632.261,3.078,8632.3659,0.0358,B-,7633.4147,3.0779,85.918805432,3.304
923,50,36.0,86.0,Kr,NA,-83265.67593,0.00372,8712.0295,0.0003,B-,-518.6734,0.2000,85.91061062468,0.00399
924,49,37.0,86.0,Rb,-n,-82747.003,0.200,8696.9014,0.0023,B-,1776.0972,0.2001,85.911167443,0.214
925,48,38.0,86.0,Sr,NA,-84523.09977,0.00524,8708.4566,0.0003,B-,-5240.0,14.1421,85.90926072473,0.00563
926,47,39.0,86.0,Y,-,-79283.100,14.142,8638.4293,0.1644,B-,-1314.0763,14.5847,85.914886095,15.182
927,46,40.0,86.0,Zr,NA,-77969.023,3.566,8614.0523,0.0415,B-,-8834.9627,6.5521,85.916296814,3.827
928,45,41.0,86.0,Nb,x,-69134.061,5.499,8502.2231,0.0639,B-,-5023.1337,6.2316,85.925781536,5.903
929,44,42.0,86.0,Mo,x,-64110.927,2.932,8434.7175,0.0341,B-,-12541.0,300#,85.931174092,3.147
930,43,43.0,86.0,Tc,x,-51570#,300#,8280#,3#,B-,-11800.0,500#,85.944637,322#
931,42,44.0,86.0,Ru,x,-39770#,400#,8133#,5#,B-,*,NA,85.957305,429#
932,56,31.0,87.0,Ga,x,-28870#,500#,8124#,6#,B-,14720.0,583#,86.969007,537#
933,55,32.0,87.0,Ge,x,-43590#,300#,8285#,3#,B-,12028.0,300#,86.953204,322#
934,54,33.0,87.0,As,x,-55617.914,2.985,8413.8521,0.0343,B-,10808.2192,3.7260,86.940291716,3.204
935,53,34.0,87.0,Se,x,-66426.133,2.241,8529.0920,0.0258,B-,7465.5526,3.8766,86.928688616,2.405
936,52,35.0,87.0,Br,2p-n,-73891.685,3.171,8605.9105,0.0364,B-,6817.8455,3.1805,86.920674016,3.404
937,51,36.0,87.0,Kr,-n,-80709.531,0.246,8675.2840,0.0028,B-,3888.2706,0.2463,86.913354759,0.264
938,50,37.0,87.0,Rb,NA,-84597.802,0.006,8710.9843,0.0003,B-,282.2749,0.0063,86.909180529,0.006
939,49,38.0,87.0,Sr,NA,-84880.07643,0.00513,8705.2363,0.0003,B-,-1861.6894,1.1278,86.90887749454,0.00550
940,48,39.0,87.0,Y,-,-83018.387,1.128,8674.8451,0.0130,B-,-3671.2405,4.2962,86.9108761,1.210
941,47,40.0,87.0,Zr,NA,-79347.147,4.146,8623.6545,0.0477,B-,-5472.6536,7.9633,86.914817338,4.450
942,46,41.0,87.0,Nb,x,-73874.493,6.802,8551.7579,0.0782,B-,-6989.6757,7.3781,86.920692473,7.302
943,45,42.0,87.0,Mo,NA,-66884.817,2.857,8462.4243,0.0328,B-,-9194.7656,5.0729,86.928196198,3.067
944,44,43.0,87.0,Tc,x,-57690.052,4.192,8347.7449,0.0482,B-,-11960.0,400#,86.938067185,4.500
945,43,44.0,87.0,Ru,x,-45730#,400#,8201#,5#,B-,*,NA,86.950907,429#
946,57,31.0,88.0,Ga,x,-22390#,500#,8050#,6#,B-,17129.0,640#,87.975963,537#
947,56,32.0,88.0,Ge,x,-39520#,400#,8236#,5#,B-,10930.0,447#,87.957574,429#
948,55,33.0,88.0,As,x,-50450#,200#,8351#,2#,B-,13434.0,200#,87.94584,215#
949,54,34.0,88.0,Se,x,-63884.203,3.357,8495.0045,0.0382,B-,6831.764,4.6125,87.93141749,3.604
950,53,35.0,88.0,Br,++,-70715.967,3.171,8563.7479,0.0360,B-,8975.3282,4.1059,87.92408329,3.404
951,52,36.0,88.0,Kr,x,-79691.295,2.608,8656.8499,0.0296,B-,2917.709,2.6130,87.914447879,2.800
952,51,37.0,88.0,Rb,NA,-82609.004,0.159,8681.1154,0.0018,B-,5312.6243,0.1590,87.91131559,0.170
953,50,38.0,88.0,Sr,NA,-87921.62876,0.00561,8732.5958,0.0003,B-,-3622.6,1.5000,87.905612253,0.006
954,49,39.0,88.0,Y,-,-84299.029,1.500,8682.5396,0.0170,B-,-670.1549,5.6076,87.909501274,1.610
955,48,40.0,88.0,Zr,NA,-83628.874,5.403,8666.0339,0.0614,B-,-7457.3187,57.8921,87.910220715,5.800
956,47,41.0,88.0,Nb,NA,-76171.555,57.808,8572.4013,0.6569,B-,-3485.0021,57.9345,87.918226476,62.059
957,46,42.0,88.0,Mo,x,-72686.553,3.819,8523.9087,0.0434,B-,-11016.2515,5.6021,87.921967779,4.100
958,45,43.0,88.0,Tc,x,-61670.301,4.099,8389.8338,0.0466,B-,-7331.0,300#,87.933794211,4.400
959,44,44.0,88.0,Ru,x,-54340#,300#,8298#,3#,B-,-17479.0,500#,87.941664,322#
960,43,45.0,88.0,Rh,x,-36860#,400#,8090#,5#,B-,*,NA,87.960429,429#
961,57,32.0,89.0,Ge,x,-33040#,400#,8161#,4#,B-,13490.0,500#,88.96453,429#
962,56,33.0,89.0,As,x,-46530#,300#,8304#,3#,B-,12462.0,300#,88.950048,322#
963,55,34.0,89.0,Se,x,-58992.398,3.729,8435.2799,0.0419,B-,9281.873,4.9510,88.936669058,4.003
964,54,35.0,89.0,Br,x,-68274.271,3.264,8530.7802,0.0367,B-,8261.5231,3.9045,88.926704558,3.504
965,53,36.0,89.0,Kr,x,-76535.795,2.142,8614.8158,0.0241,B-,5176.6042,5.8342,88.917835449,2.300
966,52,37.0,89.0,Rb,NA,-81712.399,5.427,8664.1895,0.0610,B-,4496.6278,5.4265,88.912278136,5.825
967,51,38.0,89.0,Sr,NA,-86209.026,0.092,8705.9230,0.0011,B-,1502.1757,0.3510,88.907450808,0.098
968,50,39.0,89.0,Y,NA,-87711.202,0.339,8714.0110,0.0038,B-,-2833.2285,2.7652,88.905838156,0.363
969,49,40.0,89.0,Zr,NA,-84877.974,2.780,8673.3865,0.0312,B-,-4252.2191,23.7199,88.908879751,2.983
970,48,41.0,89.0,Nb,NA,-80625.755,23.630,8616.8184,0.2655,B-,-5610.8105,23.9513,88.913444696,25.367
971,47,42.0,89.0,Mo,x,-75014.944,3.912,8544.9851,0.0440,B-,-7620.0875,5.4673,88.919468149,4.200
972,46,43.0,89.0,Tc,x,-67394.857,3.819,8450.5758,0.0429,B-,-9025.4327,24.5181,88.927648649,4.100
973,45,44.0,89.0,Ru,x,-58369.424,24.219,8340.3760,0.2721,B-,-12719.0,361#,88.937337849,26.000
974,44,45.0,89.0,Rh,-p,-45651#,361#,8189#,4#,B-,*,NA,88.950992,387#
975,58,32.0,90.0,Ge,x,-28470#,500#,8109#,6#,B-,12520.0,640#,89.969436,537#
976,57,33.0,90.0,As,x,-40990#,400#,8240#,4#,B-,14810.0,518#,89.955995,429#
977,56,34.0,90.0,Se,x,-55800.223,329.749,8395.7672,3.6639,B-,8200.0834,329.7660,89.940096,354.000
978,55,35.0,90.0,Br,x,-64000.306,3.357,8478.1865,0.0373,B-,10958.9533,3.8396,89.931292848,3.604
979,54,36.0,90.0,Kr,x,-74959.259,1.863,8591.2599,0.0207,B-,4406.3133,6.7158,89.919527929,2.000
980,53,37.0,90.0,Rb,NA,-79365.573,6.452,8631.5262,0.0717,B-,6585.3721,6.4806,89.914797557,6.926
981,52,38.0,90.0,Sr,NA,-85950.945,1.449,8696.0043,0.0161,B-,545.9674,1.4060,89.90772787,1.555
982,51,39.0,90.0,Y,NA,-86496.912,0.354,8693.3778,0.0039,B-,2275.635,0.3726,89.907141749,0.379
983,50,40.0,90.0,Zr,NA,-88772.547,0.118,8709.9699,0.0013,B-,-6111.0165,3.3163,89.904698755,0.126
984,49,41.0,90.0,Nb,NA,-82661.531,3.317,8633.3770,0.0369,B-,-2489.0165,3.3163,89.91125920100001,3.561
985,48,42.0,90.0,Mo,NA,-80172.514,3.463,8597.0285,0.0385,B-,-9447.8181,3.6110,89.91393127,3.717
986,47,43.0,90.0,Tc,x,-70724.696,1.025,8483.3600,0.0114,B-,-5840.8951,3.8685,89.924073919,1.100
987,46,44.0,90.0,Ru,NA,-64883.801,3.730,8409.7684,0.0414,B-,-13250.0,200#,89.930344378,4.004
988,45,45.0,90.0,Rh,-,-51634#,200#,8254#,2#,B-,-11924.0,447#,89.944569,215#
989,44,46.0,90.0,Pd,x,-39710#,400#,8113#,4#,B-,*,NA,89.95737,429#
990,58,33.0,91.0,As,x,-36500#,400#,8189#,4#,B-,14080.0,589#,90.960816,429#
991,57,34.0,91.0,Se,x,-50580.130,433.145,8334.8382,4.7598,B-,10527.1716,433.1593,90.9457,465.000
992,56,35.0,91.0,Br,-n2p,-61107.301,3.543,8441.9242,0.0389,B-,9866.6724,4.1898,90.934398617,3.804
993,55,36.0,91.0,Kr,x,-70973.974,2.236,8541.7519,0.0246,B-,6771.0748,8.1153,90.923806309,2.400
994,54,37.0,91.0,Rb,NA,-77745.049,7.801,8607.5621,0.0857,B-,5906.901,8.8732,90.916537261,8.375
995,53,38.0,91.0,Sr,NA,-83651.95,5.453,8663.8759,0.0599,B-,2699.3714,5.2468,90.910195942,5.853
996,52,39.0,91.0,Y,NA,-86351.321,1.843,8684.9421,0.0203,B-,1544.271,1.8403,90.907298048,1.978
