,Isotope,Residuals (W/g),Power density (W/g),Half life (years),Half life (log(years))
1783,173Dy,-12.525084797013376,609501.7386401872,4.531396557406139e-08,-16.90965056115114
1784,71Cu,-59.74931680360772,135698.0313982075,6.147489035921615e-07,-14.302051939353673
1785,89Mo,-488.5059629820839,16840.57666798501,4.011711917256065e-06,-12.42629249571288
1786,150Ce,-40.61343432381703,198098.5908273736,1.9171293127487511e-07,-15.467266733380207
1787,114Ru,-3.735434955779676,1740824.818842504,1.7111567419575632e-08,-17.88351114484677
1788,192Au,-147938.80998103085,55.722409675209285,0.0005635409536846909,-7.481270549778923
1789,193Bi,-533.7179681760606,15416.65548878909,2.015362384972241e-06,-13.114711535076879
1790,102Sn,-17.37117677950513,448722.62664371764,1.2041473369331e-07,-15.932323938690615
1791,134Nd,-2961.893103840153,2782.2680097203915,1.6160924785154763e-05,-11.032914279704585
1792,126Ce,-279.30740300590946,29409.00814832145,1.6160924785154764e-06,-13.33549937269863
1793,142Pr,-122936.11848376968,67.05511566162129,0.002181154460415241,-6.127900973355499
1794,84Mo,-8.695095413537857,850281.7504533915,7.288260197226657e-08,-16.43441588248785
1795,113Cs,-2.3935153594440566,2429210.369151274,5.367962075696505e-13,-28.25315787416332
1796,56K,-0.6817421250342228,4901799.494894535,1.5844043907014473e-10,-22.56564237197099
1797,98Pd,-4509.640627240659,1827.5813526910333,3.365274925849874e-05,-10.299415803621072
1798,188Au,-4322.057627355473,1906.8824451637986,1.6807361776560956e-05,-10.993693566551302
1799,225At,-31.75335354947009,251686.06587367255,9.506426344208684e-08,-16.168712716754847
1800,234Am,-1413.7569776373784,5826.840107056573,4.4109818237128295e-06,-12.331413257522637
1801,121La,-28.64126585554797,278111.0206024708,1.679468654143534e-07,-15.59961818486488
1802,166Lu,-1145.033778526704,7193.123670083456,5.038405962430603e-06,-12.198420803202724
1803,75Co,-1.2523332031806742,3660010.2895052633,8.397343270717671e-10,-20.897935551412917
1804,140Sm,-5394.636246768941,1527.8203203509304,2.8177047684234543e-05,-10.477002823332914
1805,125Cs,-238.09776179018857,34477.79116506097,8.432200167313103e-05,-9.380867734445268
1806,153Sm,-248408.96270250154,33.18531434630179,0.005280013689253935,-5.2438265886055975
1807,201Po,-8153.148521523926,1010.965483063703,2.9660050193931094e-05,-10.425709528945363
1808,203Ra,-5.096315229741565,1352220.5444394443,1.1407711613050422e-09,-20.591561345948982
1809,144Dy,-57.9637268213309,139807.3551899945,2.883615991076634e-07,-15.059050591900151
1810,209Ac,-5.280442288141109,1312576.7773714473,2.978680254518721e-09,-19.631785502135088
1811,167Pt,-4.0151952657270575,1643717.1958927782,2.899460034983649e-11,-24.26391149811171
1812,88Se,-6.254177390693467,1136388.3532282312,4.848277435546429e-08,-16.84205727001861
1813,120I,-148.65617775767956,55083.343852222635,0.00015527796790630466,-8.770293705830671
1814,249Cf,-119496827442.56866,6.89856197473407e-05,351.0,5.860786223465865
1815,97Kr,-1.9130597440318633,2829863.9311894067,1.9709990620326006e-09,-20.044725284659958
1816,110Mo,-2.6426509905664397,2263066.848947207,9.252921641696453e-09,-18.49832648213681
1817,112Tc,-2.8089610844463904,2164254.90213003,1.023525236393135e-08,-18.397427961182437
1818,101Sn,-10.309858289540413,728882.9345155837,7.034755494714427e-08,-16.469817809538768
1819,167Yb,-142.04383460785715,57629.626062770636,3.327249220473039e-05,-10.310779562271387
1820,164Ir,-3.9251019376002243,1673785.1933786217,3.168808781402895e-11,-24.175080284405094
1821,178Au,-27.984254049630668,284415.20989016653,1.0773949856769841e-07,-16.043549573800842
1822,224U,-5.726968500136891,1225449.8737236338,1.2548482774355463e-11,-25.10142135213275
1823,77Kr,-404.3602535461242,20336.386280895236,0.0001380333105179101,-8.888015521370106
1824,104Zr,-4.9012858800175785,1396909.5662606773,2.915304078890663e-08,-17.350706614362007
1825,267Ds,-7.018306203288169,1028092.7779554081,3.1688087814028947e-13,-28.780250470393185
1826,268Mt,-7.048337312664437,1024256.6108734015,7.288260197226658e-10,-21.039586068475945
1827,95Ag,-7.845206364230633,931980.8221063083,5.640479630897153e-08,-16.690711641118963
1828,132Eu,-2.9679814194355854,2077520.4890470982,3.168808781402895e-09,-19.569910098417
1829,212Hg,-277.7472149195936,29573.614579121528,9.506426344208685e-07,-13.8661276237608
1830,97Rb,-1.9621557454134466,2782960.589361249,5.358455649352295e-09,-19.044590028500558
1831,140Eu,-10.421505375299216,721757.9844477947,4.784901259918371e-08,-16.855215354596123
1832,210Pb,-8718486685.75521,0.0009455267863812786,22.2,3.100092288878234
1833,64Fe,-5.562087739092561,1256240.8530330893,6.33761756280579e-08,-16.57417782486301
1834,260Sg,-6.808088437658891,1055772.1989003615,1.568560346794433e-10,-22.575692707824494
1835,193Re,-1507.0358114332905,5466.42369931563,5.703855806525211e-06,-12.074368154532745
1836,155Ta,-3.654821953219724,1770972.72073609,1.0140188100489264e-10,-23.011929474599413
